"R_anti_pad [um]","Freq [GHz]","dB(St(Trace_out_L1_T1,Trace_out_L1_T1)) []","dB(St(Trace_out_L1_T2,Trace_out_L1_T1)) []"
300,0.92,-42.3447898358478,-0.0631974862657302
300,0.93,-42.2695227834407,-0.0640736513060732
300,0.94,-42.1948358482101,-0.0649516559715236
300,0.95,-42.1207113189637,-0.065831400827131
300,0.96,-42.0471328435213,-0.0667127893253284
300,0.97,-41.9740853359673,-0.0675957277672172
300,0.98,-41.9015548886122,-0.0684801252623165
300,0.99,-41.8295286885333,-0.0693658936869962
300,1,-41.7579949385572,-0.07025294764171
300,1.01,-41.6869427825384,-0.0711412044071334
300,1.02,-41.6163622348003,-0.0720305838994523
300,1.03,-41.5462441135901,-0.0729210086248265
300,1.04,-41.4765799784036,-0.0738124036331619
300,1.05,-41.4073620710369,-0.0747046964713731
300,1.06,-41.3385832602139,-0.0755978171362012
300,1.07,-41.2702369896503,-0.0764916980266334
300,1.08,-41.2023172294063,-0.0773862738961492
300,1.09,-41.1348184303816,-0.0782814818047358
300,1.1,-41.0677354818172,-0.0791772610709165
300,1.11,-41.0010636716538,-0.0800735532236952
300,1.12,-40.9347986496213,-0.0809703019546553
300,1.13,-40.8689363929142,-0.08186745307013
300,1.14,-40.8034731743206,-0.0827649544436738
300,1.15,-40.7384055326849,-0.0836627559687182
300,1.16,-40.673730245568,-0.0845608095115816
300,1.17,-40.6094443039908,-0.0854590688648791
300,1.18,-40.545544889136,-0.0863574897012999
300,1.19,-40.4820293509019,-0.0872560295278709
300,1.2,-40.4188951881891,-0.0881546476407121
300,1.21,-40.3561400308262,-0.0890533050803159
300,1.22,-40.293761623018,-0.0899519645873892
300,1.23,-40.2317578082322,-0.0908505905592943
300,1.24,-40.1701265154237,-0.0917491490070838
300,1.25,-40.1088657465111,-0.0926476075131936
300,1.26,-40.0479735650173,-0.0935459351897393
300,1.27,-39.9874480857999,-0.0944441026375692
300,1.28,-39.9272874657854,-0.0953420819059068
300,1.29,-39.8674898956445,-0.0962398464527538
300,1.3,-39.8080535923332,-0.097137371105989
300,1.31,-39.7489767924374,-0.0980346320251407
300,1.32,-39.6902577462594,-0.0989316066639323
300,1.33,-39.6318947125899,-0.0998282737335224
300,1.34,-39.5738859541059,-0.100724613166486
300,1.35,-39.5162297333533,-0.101620606081505
300,1.36,-39.4589243092566,-0.102516234748817
300,1.37,-39.4019679341149,-0.103411482556379
300,1.38,-39.3453588510453,-0.104306333976738
300,1.39,-39.2890952918292,-0.105200774534655
300,1.4,-39.2331754751274,-0.106094790775433
300,1.41,-39.1775976050318,-0.106988370233951
300,1.42,-39.1223598699185,-0.107881501404442
300,1.43,-39.0674604415759,-0.108774173710905
300,1.44,-39.0128974745784,-0.109666377478293
300,1.45,-38.9586691058831,-0.110558103904293
300,1.46,-38.904773454622,-0.111449345031884
300,1.47,-38.8512086220719,-0.112340093722492
300,1.48,-38.7979726917825,-0.113230343629814
300,1.49,-38.7450637298392,-0.114120089174335
300,1.5,-38.6924797852493,-0.115009325518414
300,1.51,-38.6402188904348,-0.115898048542084
300,1.52,-38.588279061815,-0.116786254819359
300,1.53,-38.5366583004684,-0.117673941595293
300,1.54,-38.4853545928631,-0.118561106763517
300,1.55,-38.4343659116399,-0.119447748844381
300,1.56,-38.3836902164455,-0.120333866963738
300,1.57,-38.3333254548002,-0.121219460832213
300,1.58,-38.2832695629961,-0.122104530725083
300,1.59,-38.2335204670168,-0.122989077462668
300,1.6,-38.1840760834732,-0.123873102391222
300,1.61,-38.1349343205483,-0.124756607364448
300,1.62,-38.0860930789452,-0.125639594725378
300,1.63,-38.0375502528373,-0.126522067288876
300,1.64,-37.9893037308106,-0.127404028324546
300,1.65,-37.9413513968,-0.12828548154015
300,1.66,-37.8936911310132,-0.129166431065493
300,1.67,-37.846320810839,-0.13004688143672
300,1.68,-37.7992383117395,-0.130926837581114
