"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
0.37,-0.0321928146770603
0.38,-0.0321992891837035
0.39,-0.0321998485883031
0.4,-0.0321953938468706
0.41,-0.0321867643625058
0.42,-0.0321747451755503
0.43,-0.0321600731993548
0.44,-0.0321434426319601
0.45,-0.0321255096561071
0.46,-0.0321068965240202
0.47,-0.0320881951099465
0.48,-0.0320699700018248
0.49,-0.0320527611932803
0.5,-0.0320370864289417
0.51,-0.0320234432484116
0.52,-0.0320123107682169
0.53,-0.0320041512356277
0.54,-0.0319994113835038
0.55,-0.0319985236117536
0.56,-0.0320019070172588
0.57,-0.0320099682913436
0.58,-0.0320231025015526
0.59,-0.032041693771974
0.6,-0.0320661158750303
0.61,-0.0320967327454426
0.62,-0.032133898926254
0.63,-0.0321779599552636
0.64,-0.0322292526993493
0.65,-0.0322881056430215
0.66,-0.0323548391372811
0.67,-0.0324297656134779
0.68,-0.0325131897668686
0.69,-0.0326054087138072
0.7,-0.0327067121258002
0.71,-0.0328173823440353
0.72,-0.0329376944764812
0.73,-0.0330679164806128
0.74,-0.0332083092334684
0.75,-0.0333591265913499
0.76,-0.033520615440431
0.77,-0.0336930157405235
0.78,-0.0338765605624704
0.79,-0.0340714761213102
0.8,-0.0342779818056935
0.81,-0.0344962902048606
0.82,-0.0347266071339658
0.83,-0.0349691316586392
0.84,-0.035224056119568
0.85,-0.0354915661575243
0.86,-0.035771840739903
0.87,-0.0360650521888555
0.88,-0.0363713662118612
0.89,-0.036690941935155
0.9,-0.0370239319404502
0.91,-0.0373704823051486
0.92,-0.0377307326469109
0.93,-0.0381048161725802
0.94,-0.0384928597319321
0.95,-0.0388949838763942
0.96,-0.0393113029236482
0.97,-0.039741925027645
0.98,-0.0401869522549434
0.99,-0.0406464806674322
1,-0.0411206004116183
1.01,-0.0416093958152586
1.02,-0.0421129454909324
1.03,-0.0426313224475511
1.04,-0.0431645942094994
1.05,-0.0437128229444726
1.06,-0.0442760655993042
1.07,-0.0448543740450946
1.08,-0.045447795231564
1.09,-0.046056371350759
1.1,-0.0466801400108786
1.11,-0.0473191344203999
1.12,-0.0479733835828375
1.13,-0.0486429125027244
1.14,-0.0493277424031789
1.15,-0.0500278909551726
1.16,-0.0507433725196498
1.17,-0.0514741984024736
1.18,-0.0522203771226008
1.19,-0.0529819146947431
1.2,-0.0537588149260893
1.21,-0.0545510797287169
1.22,-0.0553587094475467
1.23,-0.0561817032049959
1.24,-0.0570200592626153
1.25,-0.0578737754011635
1.26,-0.0587428493192285
1.27,-0.0596272790514093
1.28,-0.0605270634074529
1.29,-0.0614422024330314
1.3,-0.0623726978926213
1.31,-0.0633185537768412
1.32,-0.0642797768343227
1.33,-0.0652563771301779
1.34,-0.0662483686318599
1.35,-0.0672557698243636
1.36,-0.0682786043561354
1.37,-0.0693169017175786
1.38,-0.0703706979535713
1.39,-0.0714400364128227
1.4,-0.0725249685354172
1.41,-0.0736255546813993
1.42,-0.0747418650025576
1.43,-0.075873980360982
1.44,-0.0770219932958821
1.45,-0.0781860090436646
1.46,-0.0793661466135574
1.47,-0.0805625399230179
1.48,-0.0817753389971898
1.49,-0.0830047112373034
1.5,-0.0842508427615821
1.51,-0.0855139398263039
1.52,-0.0867942303310382
1.53,-0.0880919654155743
1.54,-0.0894074211549874
1.55,-0.090740900361997
1.56,-0.0920927345030597
1.57,-0.0934632857396835
1.58,-0.0948529491041911
1.59,-0.0962621548210624
1.6,-0.0976913707877232
1.61,-0.0991411052269014
1.62,-0.100611909527347
1.63,-0.102104381288356
1.64,-0.103619167587864
1.65,-0.105156968494079
1.66,-0.10671854084351
1.67,-0.108304702311015
1.68,-0.109916335799611
1.69,-0.111554394181451
1.7,-0.113219905425024
1.71,-0.114913978146689
1.72,-0.11663780763038
1.73,-0.118392682363632
1.74,-0.120179991143821
1.75,-0.122001230815112
1.76,-0.12385801470479
1.77,-0.125752081834057
1.78,-0.127685306990088
1.79,-0.129659711756196
1.8,-0.131677476608266
1.81,-0.133740954202445
1.82,-0.135852683992643
1.83,-0.138015408337259
1.84,-0.140232090275268
1.85,-0.142505933176926
1.86,-0.144840402503312
1.87,-0.147239249942629
1.88,-0.149706540229852
1.89,-0.152246681001725
1.9,-0.15486445609221
1.91,-0.157565062735243
1.92,-0.160354153214325
1.93,-0.163237881583927
1.94,-0.166222956188794
1.95,-0.169316698825812
1.96,-0.172527111535228
1.97,-0.175862952175721
1.98,-0.179333820138883
1.99,-0.182950253798964
2,-0.186723841582621
2.01,-0.190667348891338
2.02,-0.194794863530495
2.03,-0.199121962810318
2.04,-0.203665906107213
2.05,-0.208445857436764
2.06,-0.213483143527175
2.07,-0.218801554038891
2.08,-0.224427692010572
2.09,-0.230391384398827
2.1,-0.236726164815781
2.11,-0.243469843383498
2.12,-0.25066518218478
2.13,-0.258360699319168
2.14,-0.266611630368849
2.15,-0.275481083540665
2.16,-0.285041434418777
2.17,-0.295376018874986
2.18,-0.306581199254208
2.19,-0.318768900885399
2.2,-0.332069745227915
2.21,-0.346636945321685
2.22,-0.362651182614814
2.23,-0.38032675737895
2.24,-0.399919406059944
2.25,-0.421736320214993
2.26,-0.446149101276681
2.27,-0.473610670570046
2.28,-0.504677566531615
2.29,-0.540039665594874
2.3,-0.580560261386844
2.31,-0.627330791070414
2.32,-0.681746571370803
2.33,-0.745613135085486
2.34,-0.821297872880963
2.35,-0.911949936829969
2.36,-1.02182493622092
2.37,-1.15677374074137
2.38,-1.32499375842738
2.39,-1.53820944159878
2.4,-1.81357117003646
2.41,-2.17678565145995
2.42,-2.66741053663152
2.43,-3.34805216565766
2.44,-4.32079440758633
2.45,-5.75724593551967
2.46,-7.95123896734816
2.47,-11.3363723771334
2.48,-15.0440872591332
2.49,-12.8365245665519
