"Freq [GHz]","dB(St(microstrip_feed_T1,microstrip_feed_T1)) []"
0.9,-0.0611448389817774
0.91,-0.0637095685873121
0.92,-0.0663625842944795
0.93,-0.06910951500835
0.94,-0.0719567209347839
0.95,-0.0749113914796738
0.96,-0.0779816545681667
0.97,-0.0811766977666532
0.98,-0.0845069010770458
0.99,-0.0879839804563456
1,-0.0916211398676615
1.01,-0.0954332278242123
1.02,-0.0994368917260082
1.03,-0.103650719535029
1.04,-0.108095353157915
1.05,-0.112793550935963
1.06,-0.117770167518846
1.07,-0.123052007862977
1.08,-0.12866749817477
1.09,-0.1346461009264
1.1,-0.141017385269802
1.11,-0.147809651624032
1.12,-0.155048005742649
1.13,-0.16275179218356
1.14,-0.170931342116011
1.15,-0.179584080145642
1.16,-0.188690181729802
1.17,-0.198208179482934
1.18,-0.208071164521965
1.19,-0.218184465313415
1.2,-0.228425819145359
1.21,-0.238648962604278
1.22,-0.248691157311688
1.23,-0.258384422034475
1.24,-0.267569297287408
1.25,-0.276109111445171
1.26,-0.283902294693005
1.27,-0.290890535181276
1.28,-0.297061468121071
1.29,-0.302445833660744
1.3,-0.307110197259294
1.31,-0.311147037721381
1.32,-0.314664139864373
1.33,-0.317774882203346
1.34,-0.320590416633409
1.35,-0.323214129527299
1.36,-0.325738303216597
1.37,-0.328242616363154
1.38,-0.330794012385655
1.39,-0.333447474993596
1.4,-0.336247324193451
1.41,-0.339228742614587
1.42,-0.342419334641783
1.43,-0.345840597251697
1.44,-0.349509238300056
1.45,-0.353438316866568
1.46,-0.357638204706724
1.47,-0.362117381758958
1.48,-0.366883085393515
1.49,-0.371941835286954
1.5,-0.377299855341939
1.51,-0.382963412209104
1.52,-0.388939087508332
1.53,-0.395233998268642
1.54,-0.401855977671133
1.55,-0.408813726014839
1.56,-0.416116939974168
1.57,-0.423776426677251
1.58,-0.431804207881068
1.59,-0.440213618515948
1.6,-0.449019403081731
1.61,-0.458237812763975
1.62,-0.467886705670655
1.63,-0.477985652239639
1.64,-0.488556047613162
1.65,-0.499621232599136
1.66,-0.511206624725417
1.67,-0.523339860831147
1.68,-0.536050952619443
1.69,-0.549372456611188
1.7,-0.563339659985342
1.71,-0.57799078386253
1.72,-0.593367205683272
1.73,-0.609513702447178
1.74,-0.626478716713664
1.75,-0.644314647416996
1.76,-0.663078167717078
1.77,-0.682830572293032
1.78,-0.703638156686929
1.79,-0.725572631520674
1.8,-0.748711574638127
1.81,-0.773138924466296
1.82,-0.79894551814217
1.83,-0.826229678212878
1.84,-0.855097851984447
1.85,-0.88566530786338
1.86,-0.918056893302147
1.87,-0.952407859218161
1.88,-0.988864755998094
1.89,-1.0275864064182
1.9,-1.06874496099541
1.91,-1.11252704142218
1.92,-1.1591349778178
1.93,-1.20878814553532
1.94,-1.26172440718309
1.95,-1.31820166533774
1.96,-1.37849953113108
1.97,-1.44292111347718
1.98,-1.51179493316932
1.99,-1.58547696542826
2,-1.6643528137544
2.01,-1.74884001717604
2.02,-1.83939049228507
2.03,-1.93649311094045
2.04,-2.04067641439513
2.05,-2.15251146513751
2.06,-2.27261483931087
2.07,-2.4016517656818
2.08,-2.54033942243207
2.09,-2.68945041138479
2.1,-2.8498164417114
2.11,-3.02233227302179
2.12,-3.20795999264116
2.13,-3.40773373580596
2.14,-3.62276500286954
2.15,-3.85424878731912
2.16,-4.10347080605057
2.17,-4.37181622339978
2.18,-4.66078038860194
2.19,-4.97198227016937
2.2,-5.30718148034784
2.21,-5.66830005254206
2.22,-6.05745048457454
2.23,-6.47697201985592
2.24,-6.92947774880345
2.25,-7.41791593405693
2.26,-7.94565007961974
2.27,-8.51656379070671
2.28,-9.13519855210291
2.29,-9.80693533668489
2.3,-10.5382344919754
2.31,-11.3369522582649
2.32,-12.2127547217296
2.33,-13.1776447137188
2.34,-14.2465842376732
2.35,-15.4380724429309
2.36,-16.774131296091
2.37,-18.277828663732
2.38,-19.9622270687749
2.39,-21.7919685120694
2.4,-23.573318699834
2.41,-24.7777754222
2.42,-24.7563389023955
2.43,-23.6100796481725
2.44,-22.0264456399906
2.45,-20.454738306739
2.46,-19.0402928636136
2.47,-17.8016333631477
2.48,-16.7209660477574
2.49,-15.7741769426173
2.5,-14.939164914434
2.51,-14.1975200437066
2.52,-13.5343323578489
2.53,-12.9375845746858
2.54,-12.3975477997012
2.55,-11.9062807804079
2.56,-11.4572389036069
2.57,-11.0449750120764
2.58,-10.6649114541066
2.59,-10.3131658796417
2.6,-9.98641725053875
2.61,-9.68180196147043
2.62,-9.39683262664797
2.63,-9.12933406010385
2.64,-8.87739241506183
2.65,-8.63931449007871
2.66,-8.41359496547859
2.67,-8.19888988383014
2.68,-7.99399509088669
2.69,-7.79782864983287
2.7,-7.60941646116841
2.71,-7.42788048400221
2.72,-7.25242907686613
2.73,-7.08234906821247
2.74,-6.91699923640585
2.75,-6.75580493211827
2.76,-6.59825361693508
2.77,-6.44389112401847
2.78,-6.29231847239223
2.79,-6.14318908776866
2.8,-5.99620630135389
2.81,-5.85112101487079
2.82,-5.70772943596577
2.83,-5.56587080376383
2.84,-5.42542503992212
2.85,-5.28631027620651
2.86,-5.14848022529246
2.87,-5.01192137694902
2.88,-4.87665001665773
2.89,-4.74270907765358
2.9,-4.61016484991902
2.91,-4.47910358041936
2.92,-4.34962800748908
2.93,-4.22185387851154
2.94,-4.09590650373573
2.95,-3.9719174002216
2.96,-3.85002107860463
2.97,-3.73035202183426
2.98,-3.61304189958542
2.99,-3.49821705504911
3,-3.38599629271299
3.01,-3.2764889869922
3.02,-3.16979352260589
3.03,-3.06599606882699
3.04,-2.96516968151747
3.05,-2.86737371948963
3.06,-2.77265355542956
3.07,-2.68104055651803
3.08,-2.59255230606177
3.09,-2.50719303490025
3.1,-2.42495423002515
3.11,-2.34581538763529
3.12,-2.26974487861182
3.13,-2.19670089597217
3.14,-2.12663245607996
3.15,-2.05948042807392
3.16,-1.99517856897354
3.17,-1.9336545450701
3.18,-1.87483092339129
3.19,-1.81862612012697
3.2,-1.76495529583764
3.21,-1.71373118997325
3.22,-1.66486488966394
3.23,-1.61826652988378
3.24,-1.57384592392319
3.25,-1.53151312463867
3.26,-1.49117891819623
3.27,-1.45275525300311
3.28,-1.41615560726183
3.29,-1.381295299104
3.3,-1.34809174360162
3.31,-1.3164646611363
3.32,-1.28633624166127
3.33,-1.25763126934072
3.34,-1.23027721191945
3.35,-1.20420427898388
3.36,-1.17934545303752
3.37,-1.15563649704943
3.38,-1.13301594185015
3.39,-1.11142505646029
3.4,-1.09080780414674
3.41,-1.07111078671954
3.42,-1.05228317931068
3.43,-1.03427665761924
3.44,-1.01704531936742
3.45,-1.00054560148937
3.46,-0.984736194371064
3.47,-0.969577954273868
3.48,-0.955033814907551
3.49,-0.941068698967956
3.5,-0.927649430321269
3.51,-0.914744647398641
3.52,-0.90232471826049
3.53,-0.890361657699507
3.54,-0.878829046671493
3.55,-0.867701954275412
3.56,-0.856956862444783
3.57,-0.846571593462831
3.58,-0.836525240370771
3.59,-0.826798100303212
3.6,-0.817371610754744
3.61,-0.808228288756754
3.62,-0.799351672923749
3.63,-0.790726268312038
3.64,-0.782337494020566
3.65,-0.774171633454092
3.66,-0.766215787160812
3.67,-0.758457828151712
3.68,-0.750886359604755
3.69,-0.743490674855112
3.7,-0.73626071957164
3.71,-0.729187056019852
3.72,-0.72226082931255
3.73,-0.715473735550984
3.74,-0.708817991761271
3.75,-0.702286307533649
3.76,-0.695871858274793
3.77,-0.689568259986641
3.78,-0.68336954548835
3.79,-0.67727014200141
3.8,-0.671264850021427
3.81,-0.66534882340347
3.82,-0.659517550591155
3.83,-0.653766836923489
3.84,-0.64809278795608
3.85,-0.642491793737399
3.86,-0.636960513983106
3.87,-0.631495864095114
3.88,-0.626095001974618
3.89,-0.620755315581246
3.9,-0.615474411193232
3.91,-0.610250102325921
3.92,-0.605080399268467
3.93,-0.599963499201024
3.94,-0.594897776856615
3.95,-0.589881775694312
3.96,-0.584914199552157
3.97,-0.579993904750161
3.98,-0.575119892615595
3.99,-0.570291302404237
4,-0.565507404593152
4.01,-0.560767594521838
4.02,-0.556071386359937
4.03,-0.551418407381398
4.04,-0.54680839252575
4.05,-0.542241179228668
4.06,-0.537716702505034
4.07,-0.533234990268663
4.08,-0.528796158873853
4.09,-0.524400408865059
4.1,-0.520048020921521
4.11,-0.515739351984709
4.12,-0.511474831557173
4.13,-0.507254958162141
4.14,-0.503080295953731
4.15,-0.498951471468477
4.16,-0.494869170509381
4.17,-0.490834135154217
4.18,-0.486847160880415
4.19,-0.482909093799354
4.2,-0.479020827993275
4.21,-0.475183302948581
4.22,-0.471397501079613
4.23,-0.467664445337428
4.24,-0.46398519689843
4.25,-0.460360852928156
4.26,-0.456792544415658
4.27,-0.453281434074414
4.28,-0.449828714305872
4.29,-0.446435605222094
4.3,-0.443103352724047
4.31,-0.439833226632605
4.32,-0.436626518869275
4.33,-0.433484541684056
4.34,-0.430408625927924
4.35,-0.427400119367788
4.36,-0.424460385041689
4.37,-0.421590799652423
4.38,-0.418792751997805
4.39,-0.416067641435963
4.4,-0.413416876384167
4.41,-0.410841872849892
4.42,-0.408344052992844
4.43,-0.405924843717008
4.44,-0.403585675291391
4.45,-0.401327979999018
4.46,-0.399153190812998
4.47,-0.397062740099201
4.48,-0.395058058344839
4.49,-0.393140572912385
4.5,-0.391311706818479
4.51,-0.389572877537253
4.52,-0.387925495827936
4.53,-0.386370964586311
4.54,-0.384910677719903
4.55,-0.383546019046661
4.56,-0.382278361217066
4.57,-0.381109064659598
4.58,-0.380039476549391
4.59,-0.379070929800323
4.6,-0.378204742080303
4.61,-0.377442214849958
4.62,-0.376784632424809
4.63,-0.376233261060964
4.64,-0.375789348064494
4.65,-0.375454120924675
4.66,-0.375228786471163
4.67,-0.375114530055335
4.68,-0.375112514755906
4.69,-0.375223880609155
4.7,-0.375449743863699
4.71,-0.375791196260251
4.72,-0.376249304336361
4.73,-0.376825108756473
4.74,-0.377519623667361
4.75,-0.378333836079193
4.76,-0.379268705272356
4.77,-0.380325162230266
4.78,-0.381504109098133
4.79,-0.382806418668094
4.8,-0.384232933890643
4.81,-0.385784467412398
4.82,-0.387461801140584
4.83,-0.389265685834043
4.84,-0.391196840720859
4.85,-0.393255953142895
4.86,-0.395443678226841
4.87,-0.397760638582124
4.88,-0.400207424025491
4.89,-0.402784591332303
4.9,-0.405492664014334
4.91,-0.408332132124195
4.92,-0.411303452086058
4.93,-0.414407046552743
4.94,-0.417643304288793
4.95,-0.421012580079622
4.96,-0.424515194666249
4.97,-0.428151434705566
4.98,-0.431921552755942
4.99,-0.435825767287631
5,-0.439864262717991
