"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
3.98107170553497E-06,-0.000114426983715439
4.46683592150963E-06,-0.00011442713816609
5.01187233627272E-06,-0.00011442733260407
5.62341325190349E-06,-0.000114427577392179
6.30957344480193E-06,-0.000114427885558652
7.07945784384138E-06,-0.00011442827351656
7.94328234724281E-06,-0.00011442876192882
8.91250938133746E-06,-0.000114429376801756
1E-05,-0.000114430150883397
1.12201845430196E-05,-0.000114431125392535
1.25892541179417E-05,-0.000114432352229958
1.41253754462276E-05,-0.000114433896721998
1.58489319246111E-05,-0.000114435841129765
1.77827941003892E-05,-0.00011443828899157
1.99526231496888E-05,-0.000114441370666918
2.23872113856834E-05,-0.000114445250272043
2.51188643150958E-05,-0.000114450134410076
2.81838293126445E-05,-0.00011445628318478
3.16227766016838E-05,-0.00011446402404365
3.54813389233575E-05,-0.000114473769231508
3.98107170553497E-05,-0.000114486037722492
4.46683592150963E-05,-0.000114501482887942
5.01187233627273E-05,-0.000114520927275334
5.62341325190349E-05,-0.000114545406431757
6.30957344480193E-05,-0.000114576224060325
7.07945784384137E-05,-0.000114615021467147
7.94328234724282E-05,-0.000114663864996143
8.91250938133746E-05,-0.000114725356136479
0.0001,-0.000114802770124337
0.000112201845430196,-0.000114900230512689
0.000125892541179417,-0.000115022928968666
0.000141253754462276,-0.000115177402077986
0.000158489319246111,-0.000115371879971632
0.000177827941003892,-0.000115616725455108
0.000199526231496888,-0.000115924987178949
0.000223872113856834,-0.000116313096638202
0.000251188643150958,-0.000116801746541971
0.000281838293126446,-0.0001174169980434
0.000316227766016838,-0.000118191676987373
0.000354813389233575,-0.000119167135224045
0.000398107170553497,-0.000120395473812775
0.000446683592150963,-0.000121942350875223
0.000501187233627273,-0.00012389053093409
0.000562341325190349,-0.000126344376106235
0.000630957344480193,-0.000129435536365588
0.000707945784384137,-0.000133330170537031
0.000794328234724282,-0.000138238127921982
0.000891250938133746,-0.000144424651335456
0.001,-0.000152229381351714
0.00112201845430196,-0.000162018599242248
0.00125892541179417,-0.000174223850323548
0.00141253754462276,-0.000189404959079513
0.00158489319246111,-0.000208231663779848
0.00177827941003892,-0.000231494683015213
0.00199526231496888,-0.000260112152470373
0.00223872113856834,-0.000295127980641691
0.00251188643150958,-0.000337697929780698
0.00281838293126445,-0.000389059124314765
0.00316227766016838,-0.000450479945322737
0.00354813389233575,-0.00052319076313795
0.00398107170553497,-0.000608302365278132
0.00446683592150963,-0.000706728049015702
0.00501187233627272,-0.000819135255170044
0.00562341325190349,-0.000945959322035294
0.00630957344480193,-0.00108751030801159
0.00707945784384137,-0.0012441903747905
0.00794328234724282,-0.00141681553983508
0.00891250938133746,-0.00160700974501741
0.01,-0.00181762242155487
0.0112201845430196,-0.00205312078742803
0.0125892541179417,-0.00231992372308705
0.0141253754462276,-0.00262666540110498
0.0158489319246111,-0.00298439138869974
0.0177827941003892,-0.00340668893390409
0.0199526231496888,-0.00390973410973935
0.0223872113856834,-0.00451220370188323
0.0251188643150958,-0.00523495359436804
0.0281838293126445,-0.00610031384875805
0.0316227766016838,-0.00713080387728628
0.0354813389233575,-0.00834704975460199
0.0398107170553497,-0.0097647298456971
0.0446683592150963,-0.0113905536163331
0.0501187233627272,-0.0132176955521172
0.0562341325190349,-0.0152218930281057
0.0630957344480193,-0.0173607012566065
0.0707945784384137,-0.0195802411015683
0.0794328234724282,-0.0218360930115666
0.0891250938133746,-0.0241375113783139
0.1,-0.0266264584955574
0.11,-0.0271641680554458
0.12,-0.0276649676069813
0.13,-0.0281297589824391
0.14,-0.02856074436529
0.15,-0.02896083102423
0.16,-0.0293332268152214
0.17,-0.0296811798972448
0.18,-0.0300078213986756
0.19,-0.0303160783646076
0.2,-0.0306086328214175
0.21,-0.0308879098999115
0.22,-0.031156083392505
0.23,-0.0314150910563604
0.24,-0.0316666547216433
0.25,-0.0319123021285734
0.26,-0.0321533886534364
0.27,-0.0323911178867377
0.28,-0.0326265605365114
0.29,-0.032860671445369
0.3,-0.0330943046983116
0.31,-0.0333282269052894
0.32,-0.0335631287979253
0.33,-0.0337996353034846
0.34,-0.0340383142637659
0.35,-0.0342796839605619
0.36,-0.0345242195974522
0.37,-0.0347723588731617
0.38,-0.0350245067670767
0.39,-0.0352810396425557
0.4,-0.0355423087605457
0.41,-0.0358086432834939
0.42,-0.0360803528390199
0.43,-0.0363577297030397
0.44,-0.0366410506539502
0.45,-0.0369305785423959
0.46,-0.0372265636148428
0.47,-0.037529244624175
0.48,-0.0378388497558177
0.49,-0.038155597394258
0.5,-0.0384796967512902
0.51,-0.0388113483751117
0.52,-0.0391507445559117
