"Freq [GHz]","dB(St(sma_cpw_Unnamed_4_T1,sma_cpw_Unnamed_4_T1)) []","dB(St(micro_line_T1,sma_cpw_Unnamed_4_T1)) []"
0.0199526231496888,-36.1595968465407,-0.00335232809694504
0.0223872113856834,-35.164491322893,-0.00367633668573285
0.0251188643150958,-34.1692828646047,-0.00407341355279361
0.0281838293126445,-33.1739822830763,-0.00456324571525916
0.0316227766016838,-32.1786168631716,-0.00517043565425692
0.0354813389233575,-31.1832397005179,-0.00592558831573079
0.0398107170553497,-30.1879365158474,-0.00686663499141889
0.0446683592150963,-29.1928305753517,-0.00804041863812063
0.0501187233627272,-28.1980869867612,-0.00950455307977045
0.0562341325190349,-27.2039179068486,-0.0113295484720022
0.0630957344480193,-26.2105901908211,-0.0136011639406328
0.0707945784384137,-25.2184369296007,-0.0164229031416553
0.0794328234724282,-24.2278743362688,-0.0199185116212385
0.0891250938133746,-23.2394256815775,-0.0242342787436246
0.1,-22.253754518743,-0.0295409258531514
0.11,-21.4391283967152,-0.0349521192727948
0.12,-20.6978142477822,-0.0408485922780152
0.13,-20.0182520759609,-0.0472223405819397
0.14,-19.3914538862181,-0.0540647474977834
0.15,-18.8102924082301,-0.0613666036423623
0.16,-18.2690198434392,-0.0691181277585138
0.17,-17.7629327701566,-0.0773089885630159
0.18,-17.2881329799038,-0.085928327523821
0.19,-16.8413530689328,-0.0949647824683208
0.2,-16.419826824287,-0.104406511922966
0.21,-16.0211912726353,-0.114241220083868
0.22,-15.6434115429178,-0.124456182317966
0.23,-15.284722451111,-0.13503827109496
0.24,-14.9435825325079,-0.145973982251466
0.25,-14.6186374697764,-0.157249461490625
0.26,-14.3086907037593,-0.168850531022809
0.27,-14.0126795991671,-0.180762716255859
0.28,-13.7296559520765,-0.192971272446697
0.29,-13.458769924355,-0.205461211229777
0.3,-13.1992567073969,-0.218217326942025
0.31,-12.950425377778,-0.2312242226682
0.32,-12.7116495269354,-0.2444663359354
0.33,-12.4823593370407,-0.257927963990123
0.34,-12.262034843774,-0.271593288596468
0.35,-12.0502001793411,-0.285446400299119
0.36,-11.8464186298469,-0.29947132209995
0.37,-11.6502883729627,-0.313652032502352
0.38,-11.4614387868633,-0.327972487882571
0.39,-11.2795272412389,-0.34241664415248
0.4,-11.104236297002,-0.356968477683369
0.41,-10.9352712539971,-0.371612005465154
0.42,-10.7723579962654,-0.38633130448031
0.43,-10.6152410927293,-0.401110530276484
0.44,-10.4636821179496,-0.415933934726078
0.45,-10.3174581631715,-0.430785882965438
0.46,-10.1763605124637,-0.445650869510231
0.47,-10.0401934625543,-0.46051353354744
0.48,-9.90877326812259,-0.475358673407789
0.49,-9.78192719694832,-0.490171260225924
0.5,-9.65949268152725,-0.504936450798436
0.51,-9.54131655562598,-0.519639599652834
0.52,-9.42725436582061,-0.53426627034293
0.53,-9.31716974939648,-0.548802245988427
0.54,-9.21093387112032,-0.563233539078594
0.55,-9.10842491236314,-0.577546400561528
0.56,-9.00952760688039,-0.591727328242317
0.57,-8.91413281826627,-0.605763074514499
0.58,-8.82213715471131,-0.619640653450516
0.59,-8.7334426172203,-0.633347347277748
0.6,-8.64795627790461,-0.646870712267353
0.61,-8.56558998536023,-0.660198584063896
0.62,-8.48626009448695,-0.673319082483911
0.63,-8.40988721840601,-0.686220615811937
0.64,-8.33639600039548,-0.69889188462265
0.65,-8.26571490399377,-0.711321885157534
0.66,-8.197776019623,-0.723499912284603
0.67,-8.13251488626227,-0.735415562069166
0.68,-8.0698703268574,-0.747058733983494
0.69,-8.00978429629183,-0.758419632782593
0.7,-7.9522017408662,-0.769488770072923
0.71,-7.89707046834231,-0.780256965600124
0.72,-7.84434102770366,-0.79071534828136
0.73,-7.79396659787061,-0.800855357006934
0.74,-7.74590288468453,-0.810668741235296
0.75,-7.70010802554355,-0.820147561404593
0.76,-7.65654250113399,-0.829284189183199
0.77,-7.61516905375572,-0.838071307580731
0.78,-7.57595261178948,-0.84650191094027
0.79,-7.53886021989798,-0.854569304831508
0.8,-7.50386097459311,-0.862267105863747
0.81,-7.47092596483691,-0.869589241436777
0.82,-7.44002821737756,-0.876529949446603
0.83,-7.41114264655049,-0.88308377796234
0.84,-7.38424600830248,-0.889245584889413
0.85,-7.3593168582207,-0.895010537633571
0.86,-7.33633551337176,-0.900374112779096
0.87,-7.31528401777623,-0.905332095793856
0.88,-7.29614611136363,-0.909880580772957
0.89,-7.27890720227027,-0.914015970231783
0.9,-7.26355434235904,-0.917734974958453
0.91,-7.25007620585577,-0.921034613934895
0.92,-7.23846307101098,-0.92391221433473
0.93,-7.22870680470985,-0.926365411605537
0.94,-7.22080084996592,-0.928392149642117
0.95,-7.21474021624691,-0.92999068105653
0.96,-7.21052147259257,-0.93115956754998
0.97,-7.20814274349639,-0.931897680390678
0.98,-7.20760370753454,-0.932204201001149
0.99,-7.20890559873613,-0.932078621657432
1,-7.21205121070048,-0.931520746302055
1.01,-7.21704490347832,-0.930530691471646
1.02,-7.22389261324447,-0.929108887339386
1.03,-7.23260186480221,-0.927256078871511
1.04,-7.24318178697001,-0.924973327096436
1.05,-7.25564313091467,-0.922262010484043
1.06,-7.26999829150702,-0.919123826431989
1.07,-7.28626133178974,-0.915560792854829
1.08,-7.30444801066119,-0.911575249871126
1.09,-7.32457581389379,-0.907169861582518
1.1,-7.34666398862187,-0.902347617938025
1.11,-7.37073358145044,-0.897111836675904
1.12,-7.39680748035541,-0.891466165334203
1.13,-7.42491046056551,-0.885414583320502
1.14,-7.45506923463762,-0.878961404030093
1.15,-7.48731250696146,-0.872111277000782
1.16,-7.52167103295486,-0.864869190091794
1.17,-7.55817768323966,-0.857240471672661
1.18,-7.59686751311936,-0.849230792807333
1.19,-7.63777783771401,-0.840846169417397
1.2,-7.68094831314611,-0.832092964407187
1.21,-7.72642102421307,-0.822977889732334
1.22,-7.77424057902931,-0.813508008392358
1.23,-7.82445421117228,-0.803690736326377
1.24,-7.87711188992557,-0.793533844190015
1.25,-7.93226643927665,-0.783045458990301
1.26,-7.98997366639966,-0.772234065554167
1.27,-8.05029250043498,-0.761108507804776
1.28,-8.11328514246862,-0.749677989818913
1.29,-8.17901722771788,-0.737952076637265
1.3,-8.24755800104502,-0.725940694798368
1.31,-8.31898050705261,-0.713654132565683
1.32,-8.39336179616192,-0.701103039816314
1.33,-8.47078314824458,-0.688298427558714
1.34,-8.55133031556843,-0.675251667045569
1.35,-8.63509378703688,-0.661974488447403
1.36,-8.72216907594908,-0.648478979051304
1.37,-8.81265703379265,-0.634777580948515
1.38,-8.90666419290662,-0.620883088173893
1.39,-9.00430314122617,-0.60680864325986
1.4,-9.10569293275193,-0.592567733166792
1.41,-9.2109595378844,-0.578174184551889
1.42,-9.32023633833925,-0.563642158338116
