"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
0.14,-70.8951421451879,-0.0134406414102255
0.15,-69.2717405255369,-0.0141167052557541
0.16,-67.8459898940705,-0.0148060918572846
0.17,-66.5857906856965,-0.0155056877014073
0.18,-65.4625733193416,-0.0162127531524491
0.19,-64.4529018294293,-0.0169249044595277
0.2,-63.5380056500536,-0.0176400894401908
0.21,-62.7029091239863,-0.018356559454024
0.22,-61.935616805967,-0.0190728397554539
0.23,-61.2264521900013,-0.0197876998065654
0.24,-60.5675454940425,-0.020500124675892
0.25,-59.952442731907,-0.0212092882628707
0.26,-59.3758078198029,-0.0219145287749464
0.27,-58.8331945707175,-0.0226153266413011
0.28,-58.3208709262042,-0.0233112848679676
0.29,-57.8356823273776,-0.0240021117147936
0.3,-57.3749445904562,-0.0246876054983323
0.31,-56.9363592004444,-0.0253676412869732
0.32,-56.5179457879948,-0.0260421592483447
0.33,-56.1179878963709,-0.0267111544249397
0.34,-55.734989120233,-0.0273746677440372
0.35,-55.3676374099933,-0.0280327781043108
0.36,-55.0147758588443,-0.0286855954163767
0.37,-54.6753786773723,-0.0293332545044267
0.38,-54.34853134997,-0.0299759097964325
0.39,-54.0334141850675,-0.0306137307425118
0.4,-53.7292886362829,-0.0312468979053244
0.41,-53.4354858978644,-0.0318755996655482
0.42,-53.1513973752187,-0.0325000294824886
0.43,-52.8764667069644,-0.0331203836467364
0.44,-52.6101830744976,-0.0337368594603676
0.45,-52.352075582114,-0.0343496537810367
0.46,-52.1017085284359,-0.0349589618697382
0.47,-51.8586774203617,-0.035564976487212
0.48,-51.6226056055759,-0.0361678871905705
0.49,-51.393141420102,-0.0367678797890117
0.5,-51.1699557642998,-0.0373651359244381
0.51,-50.9527400348294,-0.0379598327496921
0.52,-50.7412043520019,-0.0385521426827548
0.53,-50.5350760318859,-0.0391422332204271
0.54,-50.3340982609865,-0.0397302667988971
0.55,-50.1380289384195,-0.0403164006919958
0.56,-49.946639656556,-0.0409007869401743
0.57,-49.7597147961898,-0.0414835723052221
0.58,-49.5770507165091,-0.0420648982469801
0.59,-49.3984550238276,-0.0426449009192347
0.6,-49.2237459059427,-0.043223711182747
0.61,-49.0527515215733,-0.0438014546334784
0.62,-48.8853094362958,-0.0443782516448245
0.63,-48.7212660981586,-0.0449542174223731
0.64,-48.5604763475356,-0.0455294620700848
0.65,-48.4028029568416,-0.0461040906668875
0.66,-48.2481161967079,-0.046678203352476
0.67,-48.0962934258736,-0.047251895421442
0.68,-47.9472187026439,-0.0478252574246984
0.69,-47.800782416188,-0.0483983752772159
0.7,-47.6568809363188,-0.0489713303712538
0.71,-47.5154162806085,-0.0495441996941349
