"Freq [GHz]","dB(St(Diff1,Diff1)) []","dB(St(Diff2,Diff1)) []"
0.00316227766016838,-68.9564542340786,-0.00357261001257394
0.00354813389233575,-68.8909786943959,-0.00361509070312836
0.00398107170553497,-68.9122385807011,-0.00366422451188495
0.00446683592150963,-68.9743894427103,-0.00372107411010243
0.00501187233627272,-69.0398724296834,-0.00378597892849965
0.00562341325190349,-69.0910176034714,-0.00386005314459858
0.00630957344480193,-69.1254012296126,-0.00394449686948649
0.00707945784384137,-69.1503436016609,-0.0040407210600949
0.00794328234724282,-69.1742377153687,-0.00415035172689931
0.00891250938133746,-69.2013995205908,-0.00427515974656625
0.01,-69.2314315395327,-0.00441698558849017
0.0112201845430196,-69.2618664774294,-0.00457767587405037
0.0125892541179417,-69.2919051758834,-0.00475904906189492
0.0141253754462276,-69.324952600755,-0.00496290474999338
0.0158489319246111,-69.368504995401,-0.00519107715065939
0.0177827941003892,-69.4317966301608,-0.00544551059705432
0.0199526231496888,-69.5232816392389,-0.00572833799986265
0.0223872113856834,-69.6499942453238,-0.00604194732819175
0.0251188643150958,-69.8193218136626,-0.00638902791550866
0.0281838293126445,-70.0418236765893,-0.00677262625507947
0.0316227766016838,-70.3332436787552,-0.00719623172397813
0.0354813389233575,-70.7152044508685,-0.00766386032361159
0.0398107170553497,-71.216060225752,-0.00818009389261875
0.0446683592150963,-71.8736899919302,-0.00875007754547904
0.0501187233627272,-72.7452228602936,-0.00937950391644964
0.0562341325190349,-73.924011490876,-0.010074652911868
0.0630957344480193,-75.5834743498246,-0.0108425149837098
0.0707945784384137,-78.082659803617,-0.0116908742899299
0.0794328234724282,-82.4073831040482,-0.0126283127104975
0.0891250938133746,-93.267676218949,-0.01366437386315
0.1,-85.2903692110758,-0.0148095772997423
0.11,-74.9244555201498,-0.0153935709916651
0.12,-70.7115451238712,-0.0160199715280919
0.13,-68.2780410779876,-0.0166860489985025
0.14,-66.7573741272164,-0.0173891744173793
0.15,-65.8186463251456,-0.0181267846675371
0.16,-65.2915260603705,-0.0188963465446212
0.17,-65.0647225187769,-0.0196953459914458
0.18,-65.0453920530791,-0.0205213058649607
0.19,-65.1372756320651,-0.0213718169264351
0.2,-65.229344787606,-0.02224456311569
0.21,-65.2004548475674,-0.0231373309589945
0.22,-64.9480505601065,-0.0240480044483665
0.23,-64.4291762882512,-0.0249745534016315
0.24,-63.6761173685224,-0.0259150236285059
0.25,-62.7682631421706,-0.0268675337207803
0.26,-61.7893627445093,-0.0278302791634622
0.27,-60.8027463025131,-0.0288015416645321
0.28,-59.8474486376741,-0.029779700567822
0.29,-58.9438035110609,-0.0307632435031054
0.3,-58.1001881280345,-0.0317507743577641
0.31,-57.3180875863195,-0.0327410176799038
0.32,-56.5953125051805,-0.0337328194439728
0.33,-55.9278910972883,-0.0347251446332849
0.34,-55.3111360088532,-0.0357170723449876
0.35,-54.7402271768391,-0.0367077891754778
0.36,-54.2105179752634,-0.0376965815760875
0.37,-53.7176848934896,-0.0386828277423871
0.38,-53.2577894249835,-0.039665989459404
0.39,-52.8272913448271,-0.0406456041939845
0.4,-52.4230358272948,-0.041621277617119
0.41,-52.0422273288826,-0.0425926766561396
0.42,-51.6823976791348,-0.0435595231175112
0.43,-51.3413726253493,-0.0445215878817043
0.44,-51.0172391933825,-0.0454786856473233
0.45,-50.708315108673,-0.0464306701883262
0.46,-50.413120857727,-0.0473774300822105
0.47,-50.130354579966,-0.0483188848654691
0.48,-49.8588697557481,-0.0492549815742946
0.49,-49.5976555339023,-0.0501856916311038
0.5,-49.3458194815223,-0.0511110080411721
0.51,-49.102572515651,-0.0520309428671697
0.52,-48.8672157753125,-0.0529455249530016
0.53,-48.6391292036135,-0.0538547978715319
0.54,-48.4177616272917,-0.0547588180736414
0.55,-48.202622141644,-0.0556576532186656
0.56,-47.9932726296602,-0.0565513806684619
0.57,-47.7893212644638,-0.0574400861292988
0.58,-47.5904168631934,-0.0583238624274408
0.59,-47.3962439772595,-0.0592028084057974
0.6,-47.2065186194581,-0.0600770279303014
0.61,-47.0209845417749,-0.0609466289957573
0.62,-46.8394099894992,-0.0618117229220218
0.63,-46.6615848675775,-0.0626724236321376
0.64,-46.487318263952,-0.0635288470048998
0.65,-46.3164362823189,-0.0643811102950756
0.66,-46.1487801433372,-0.0652293316150033
0.67,-45.9842045189431,-0.0660736294720821
0.68,-45.8225760693504,-0.066914122356885
0.69,-45.6637721564349,-0.0677509283774115
0.7,-45.5076797108279,-0.0685841649351639
0.71,-45.3541942331021,-0.0694139484391914
0.72,-45.2032189120646,-0.0702403940546789
0.73,-45.0546638454766,-0.0710636154828561
0.74,-44.9084453504295,-0.0718837247692584
0.75,-44.764485352308,-0.0727008321378472
0.76,-44.6227108427354,-0.0735150458484001
0.77,-44.4830533981057,-0.0743264720750746
0.78,-44.345448751426,-0.0751352148041625
0.79,-44.2098364110718,-0.0759413757490963
0.8,-44.0761593209403,-0.0767450542811396
0.81,-43.944363557099,-0.0775463473741814
0.82,-43.814398056704,-0.0783453495622782
0.83,-43.6862143754396,-0.0791421529086459
0.84,-43.5597664702208,-0.0799368469849508
0.85,-43.4350105042753,-0.0807295188598593
0.86,-43.3119046720898,-0.0815202530958593
0.87,-43.1904090419762,-0.0823091317534926
0.88,-43.070485414327,-0.0830962344021777
0.89,-42.9520971938096,-0.0838816381368811
0.9,-42.8352092739755,-0.084665417600026
0.91,-42.719787932954,-0.0854476450079485
0.92,-42.6058007390124,-0.0862283901813866
0.93,-42.4932164649479,-0.0870077205795205
0.94,-42.3820050103676,-0.087785701337057
0.95,-42.2721373310216,-0.0885623953039439
0.96,-42.1635853744661,-0.0893378630873595
0.97,-42.0563220213833,-0.0901121630956283
0.98,-41.9503210320009,-0.0908853515837043
0.99,-41.8455569970635,-0.0916574827000057
1,-41.7420052929238,-0.0924286085342451
1.01,-41.639642040324,-0.0931987791661429
1.02,-41.5384440665052,-0.0939680427147034
1.03,-41.4383888703205,-0.0947364453879215
1.04,-41.3394545900561,-0.0955040315327223
1.05,-41.2416199737015,-0.0962708436849929
1.06,-41.1448643514316,-0.097036922619584
1.07,-41.0491676100943,-0.0978023074000546
1.08,-40.9545101695152,-0.0985670354282576
1.09,-40.860872960448,-0.0993311424934083
1.1,-40.7682374040293,-0.100094662820746
1.11,-40.676585392584,-0.100857629119637
1.12,-40.5858992716814,-0.101620072631041
1.13,-40.4961618233169,-0.102382023174289
