"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
0.79,-0.0143637841577096
0.8,-0.0147990812211829
0.81,-0.0152464229934366
0.82,-0.0157054987131879
0.83,-0.0161759850051466
0.84,-0.0166575455216653
0.85,-0.0171498306237091
0.86,-0.0176524771068087
0.87,-0.0181651079775545
0.88,-0.0186873322855628
0.89,-0.0192187450159941
0.9,-0.0197589270471806
0.91,-0.0203074451775178
0.92,-0.0208638522256707
0.93,-0.0214276872073284
0.94,-0.0219984755917723
0.95,-0.0225757296404601
0.96,-0.0231589488298776
0.97,-0.023747620359804
0.98,-0.0243412197478334
0.99,-0.0249392115102653
1,-0.0255410499287248
1.01,-0.0261461799012013
1.02,-0.026754037875531
1.03,-0.0273640528624587
1.04,-0.027975647524721
1.05,-0.0285882393379999
1.06,-0.0292012418186166
1.07,-0.0298140658121371
1.08,-0.0304261208367904
1.09,-0.0310368164742737
1.1,-0.0316455638004359
1.11,-0.0322517768478895
1.12,-0.0328548740913327
1.13,-0.0334542799471849
1.14,-0.034049426277769
1.15,-0.0346397538903968
1.16,-0.0352247140220933
1.17,-0.0358037697997283
1.18,-0.0363763976660901
1.19,-0.0369420887623922
1.2,-0.0375003502577794
1.21,-0.0380507066169967
1.22,-0.0385927007976387
1.23,-0.0391258953690006
1.24,-0.0396498735450582
1.25,-0.0401642401245766
1.26,-0.0406686223327957
1.27,-0.0411626705585123
1.28,-0.0416460589824968
1.29,-0.0421184860931886
1.3,-0.0425796750867533
1.31,-0.0430293741484254
1.32,-0.0434673566148554
1.33,-0.043893421015071
1.34,-0.0443073909908032
1.35,-0.0447091150959201
1.36,-0.0450984664755488
1.37,-0.0454753424263838
1.38,-0.0458396638390815
1.39,-0.0461913745238815
1.4,-0.0465304404213554
1.41,-0.0468568486986877
1.42,-0.047170606732344
1.43,-0.047471740976673
1.44,-0.0477602957178306
1.45,-0.0480363317098208
1.46,-0.0482999246897406
1.47,-0.0485511637650801
1.48,-0.0487901496651832
1.49,-0.0490169928449168
1.5,-0.0492318114250993
1.51,-0.0494347289495218
1.52,-0.0496258719323921
1.53,-0.049805367163295
1.54,-0.049973338727543
1.55,-0.050129904689516
1.56,-0.0502751733722976
1.57,-0.0504092391502829
1.58,-0.0505321776494924
1.59,-0.0506440402240669
1.6,-0.0507448475400159
1.61,-0.0508345820554388
1.62,-0.05091317912416
1.63,-0.0509805163761288
1.64,-0.0510364009244465
1.65,-0.0510805538153718
1.66,-0.0511125909571368
1.67,-0.0511319995170419
1.68,-0.0511381084441364
1.69,-0.0511300513098006
1.7,-0.0511067190148585
1.71,-0.051066698998553
1.72,-0.051008196279802
1.73,-0.050928929772288
1.74,-0.0508259945393203
1.75,-0.0506956765187603
1.76,-0.0505331999915854
1.77,-0.0503323784431227
1.78,-0.0500851244091586
1.79,-0.0497807499182188
1.8,-0.0494049502513646
1.81,-0.0489382995273408
1.82,-0.0483539788316291
1.83,-0.047614274348027
1.84,-0.0466650701243607
1.85,-0.0454270347880801
1.86,-0.0437813789214698
1.87,-0.041547070230419
1.88,-0.0384466975192863
1.89,-0.0340675986320543
1.9,-0.0278778462388854
1.91,-0.0195717506729238
1.92,-0.0105254468299647
1.93,-0.0062593047324848
1.94,-0.012702953346859
1.95,-0.0257145414556276
1.96,-0.0373374868229477
1.97,-0.0452113027590086
1.98,-0.0501628224219752
1.99,-0.0533016118228517
2,-0.0553719352126332
2.01,-0.0568107123792376
2.02,-0.0578697144199013
2.03,-0.0586965993052342
2.04,-0.0593805733792839
2.05,-0.0599773566198835
2.06,-0.0605229648005977
2.07,-0.0610414983127806
2.08,-0.0615496679823764
