"Freq [GHz]","dB(St(Ant_T1,Ant_T1)) []"
1.51,-0.0390518762632483
1.52,-0.0398666762879879
1.53,-0.0406848796376163
1.54,-0.0415063851179658
1.55,-0.0423312611417407
1.56,-0.0431597829801287
1.57,-0.0439924871301765
1.58,-0.0448302569841839
1.59,-0.0456744674536314
1.6,-0.0465272453018217
1.61,-0.0473919693334803
1.62,-0.0482743040150379
1.63,-0.0491845309137138
1.64,-0.0501434261120645
1.65,-0.0511994403114599
1.66,-0.0524905125378132
1.67,-0.054547896824281
1.68,-0.0606940772563163
1.69,-0.0764882377930269
1.7,-0.0600200626420409
1.71,-0.0576153393765986
1.72,-0.0577030836360335
1.73,-0.0583328296058872
1.74,-0.0591511921209897
1.75,-0.0600604177871403
1.76,-0.0610260249292689
1.77,-0.0620341262218575
1.78,-0.0630788993886328
1.79,-0.0641581407605285
1.8,-0.0652714569935453
1.81,-0.0664194513035789
1.82,-0.0676033285767069
1.83,-0.0688246933290439
1.84,-0.0700854433228014
1.85,-0.0713877138429845
1.86,-0.0727338505021295
1.87,-0.0741263991358815
1.88,-0.0755681066467028
1.89,-0.0770619294113025
1.9,-0.0786110473739376
1.91,-0.0802188828104376
1.92,-0.0818891232698182
1.93,-0.0836257485344773
1.94,-0.0854330616740315
1.95,-0.0873157244438307
1.96,-0.0892787974310029
1.97,-0.0913277854893566
1.98,-0.093468689147045
1.99,-0.0957080628236498
2,-0.0980530808643704
2.01,-0.100511612597376
2.02,-0.103092307853706
2.03,-0.105804694665666
2.04,-0.108659291193982
2.05,-0.11166773433698
2.06,-0.114842927965808
2.07,-0.118199214331655
2.08,-0.121752572928693
2.09,-0.125520852010747
2.1,-0.129524039092593
2.11,-0.13378457818372
2.12,-0.138327743275613
2.13,-0.143182079844561
2.14,-0.148379928969998
2.15,-0.153958052289567
2.16,-0.159958380659667
2.17,-0.166428915389402
2.18,-0.173424818716397
2.19,-0.1810097404031
2.2,-0.189257440796662
2.21,-0.198253788588457
2.22,-0.208099235484459
2.23,-0.218911902397997
2.24,-0.230831455968014
2.25,-0.24402401506225
2.26,-0.25868841160058
2.27,-0.27506424913643
2.28,-0.293442372126939
2.29,-0.314178603018121
2.3,-0.337711960776462
2.31,-0.364589102361549
2.32,-0.395497522123616
2.33,-0.431311256367455
2.34,-0.473154724863916
2.35,-0.522493326035694
2.36,-0.581264226588031
2.37,-0.652068753575319
2.38,-0.738461266832599
2.39,-0.845392745846559
2.4,-0.979908946747991
2.41,-1.15227939722908
2.42,-1.37787845275803
2.43,-1.68042501474395
2.44,-2.09777500662149
2.45,-2.69274528146464
2.46,-3.5745353197804
2.47,-4.9450745729158
2.48,-7.21764460160767
2.49,-11.4482372451065
2.5,-22.9169174476187
2.51,-16.4357777846372
2.52,-9.20213313805947
2.53,-5.86217295785595
2.54,-3.97272475926671
2.55,-2.81586807079769
2.56,-2.07076324868269
2.57,-1.57096759505369
2.58,-1.22381938356256
2.59,-0.97526046254548
2.6,-0.792515555042419
2.61,-0.655020020394756
2.62,-0.549463488695561
2.63,-0.466984765202274
2.64,-0.40153246378356
2.65,-0.348877957850786
2.66,-0.306004433325634
2.67,-0.270718948968457
2.68,-0.241400234415642
2.69,-0.216831144376158
2.7,-0.196085116757072
2.71,-0.178447808771669
2.72,-0.163362095163097
2.73,-0.150388861297642
2.74,-0.13917865296637
2.75,-0.129450903524826
2.76,-0.120978524692198
2.77,-0.113576343562327
2.78,-0.107092330309013
2.79,-0.101400871847153
2.8,-0.0963975583476219
2.81,-0.0919950950311276
2.82,-0.0881200523746691
2.83,-0.0847102377367016
2.84,-0.0817125199203943
2.85,-0.0790809722935314
2.86,-0.0767752257657906
2.87,-0.0747589467522485
2.88,-0.0729983858666338
2.89,-0.0714609921136119
2.9,-0.0701141679064647
2.91,-0.0689243593465568
2.92,-0.0678568165417042
2.93,-0.0668764512373301
2.94,-0.0659501286996146
2.95,-0.0650503099037372
2.96,-0.0641592143789863
2.97,-0.0632719554045341
2.98,-0.0623970350490498
2.99,-0.0615535493523525
3,-0.0607659950310559
3.01,-0.0600586294599054
3.02,-0.0594512213585593
3.03,-0.0589570256590124
3.04,-0.0585827536129487
3.05,-0.0583297604371727
3.06,-0.0581956641662828
3.07,-0.0581758727688071
3.08,-0.0582647826780351
3.09,-0.0584566073828951
3.1,-0.0587458906983629
3.11,-0.0591277877821246
3.12,-0.059598191413186
3.13,-0.0601537635939142
3.14,-0.0607919143202382
3.15,-0.0615107545751581
3.16,-0.0623090399801546
3.17,-0.0631861144677448
3.18,-0.0641418588936996
3.19,-0.0651766468386892
3.2,-0.0662913083388492
3.21,-0.0674871014763267
3.22,-0.0687656913814799
3.23,-0.0701291360615894
3.24,-0.0715798784643072
3.25,-0.0731207442510125
3.26,-0.0747549448488306
3.27,-0.076486085457322
3.28,-0.0783181777943225
3.29,-0.0802556574673797
3.3,-0.0823034059577287
3.31,-0.0844667772968393
3.32,-0.0867516296067381
3.33,-0.0891643617661927
3.34,-0.09171195555314
3.35,-0.0944020237106213
3.36,-0.0972428644803059
3.37,-0.100243523256388
3.38,-0.103413862129721
3.39,-0.106764638224913
3.4,-0.110307591879491
3.41,-0.114055545884933
3.42,-0.118022517201717
3.43,-0.122223842783816
3.44,-0.126676321406933
3.45,-0.131398373694995
3.46,-0.136410222890622
3.47,-0.141734099325961
3.48,-0.14739447203378
3.49,-0.153418311506167
3.5,-0.159835388279883
3.51,-0.166678612821545
3.52,-0.173984423128132
3.53,-0.181793227579247
3.54,-0.190149911913438
3.55,-0.199104420798042
3.56,-0.208712426373728
3.57,-0.219036098451662
3.58,-0.23014499380299
3.59,-0.242117085313257
3.6,-0.255039955799668
3.61,-0.269012186167468
3.62,-0.284144973499323
3.63,-0.30056402186668
